load_level,seed,split,feature,mean,std,min,p05,p50,p95,max
light,17,train,cost_q2,0.028583331033587456,0.029277291148900986,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.07000000029802322,0.36000001430511475
light,17,train,cost_q3,0.06016666814684868,0.07852131128311157,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.14049987494945526,0.9100000262260437
light,17,train,cost_q4,0.10694791376590729,0.14442038536071777,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.32049986720085144,1.0099999904632568
light,17,train,cost_q5,0.13960415124893188,0.1732948124408722,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.4699999988079071,1.0099999904632568
light,17,test,cqi_t-4,11.80661392211914,3.244310140609741,1.1412582397460938,4.575443267822266,13.045419692993164,15.0,15.0
light,17,test,cqi_t-3,11.821959495544434,3.264984607696533,1.0,4.437047481536865,13.017805099487305,15.0,15.0
light,17,test,cqi_t-2,11.838261604309082,3.18467378616333,1.0,4.763566970825195,13.015155792236328,15.0,15.0
light,17,test,cqi_t-1,11.822285652160645,3.1905760765075684,1.0,4.418323993682861,13.018104553222656,15.0,15.0
light,17,test,cqi_now,11.797423362731934,3.2032358646392822,1.0,4.592153549194336,12.975285530090332,15.0,15.0
light,17,test,cost_q0,0.010104166343808174,0.0010152909671887755,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.019999999552965164
light,17,test,cost_q1,0.01216666679829359,0.006574361119419336,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.029999999329447746,0.07000000029802322
light,17,test,cost_q2,0.027166668325662613,0.02179194614291191,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.060499876737594604,0.28999999165534973
light,17,test,cost_q3,0.05547916889190674,0.05480058118700981,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.13049986958503723,0.800000011920929
light,17,test,cost_q4,0.10108332335948944,0.12027604132890701,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.26049986481666565,1.0099999904632568
light,17,test,cost_q5,0.13385416567325592,0.15020936727523804,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.3499999940395355,1.0099999904632568
light,23,train,cqi_t-4,11.208009719848633,3.5118939876556396,1.0,3.2119646072387695,12.327301979064941,15.0,15.0
light,23,train,cqi_t-3,11.2094087600708,3.4941365718841553,1.0,3.4764881134033203,12.380624771118164,15.0,15.0
light,23,train,cqi_t-2,11.20988941192627,3.491377830505371,1.0,3.6196248531341553,12.313613891601562,15.0,15.0
light,23,train,cqi_t-1,11.190484046936035,3.4985005855560303,1.0,3.516345977783203,12.320096015930176,15.0,15.0
light,23,train,cqi_now,11.215482711791992,3.4905903339385986,1.0,3.596088409423828,12.329633712768555,15.0,15.0
light,23,train,cost_q0,0.010364583693444729,0.0020847651176154613,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.029999999329447746
