dispersion,load,seed,method,mean_utility,n_scenarios
low,light,seed_0004,CQI k-means,0.529078111650274,15
low,light,seed_0004,CQI k-means (k-means++),0.529078111650274,15
low,light,seed_0004,Resource-cost k-means,0.529078111650274,15
low,light,seed_0004,Multi-feature k-means,0.529078111650274,15
low,light,seed_0004,CQI+resource-cost hybrid (paper method),0.529078111650274,15
low,light,seed_0004,Offline teacher,0.529078111650274,15
low,light,seed_0005,No grouping,0.529078111650274,15
low,light,seed_0005,CQI k-means,0.529078111650274,15
low,light,seed_0005,CQI k-means (k-means++),0.529078111650274,15
low,light,seed_0005,Resource-cost k-means,0.529078111650274,15
low,light,seed_0005,Multi-feature k-means,0.529078111650274,15
low,light,seed_0005,CQI+resource-cost hybrid (paper method),0.529078111650274,15
low,light,seed_0005,Offline teacher,0.529078111650274,15
low,light,seed_0006,No grouping,0.529078111650274,15
low,light,seed_0006,CQI k-means,0.529078111650274,15
low,light,seed_0006,CQI k-means (k-means++),0.529078111650274,15
low,light,seed_0006,Resource-cost k-means,0.529078111650274,15
low,light,seed_0006,Multi-feature k-means,0.529078111650274,15
low,light,seed_0006,CQI+resource-cost hybrid (paper method),0.529078111650274,15
low,light,seed_0006,Offline teacher,0.529078111650274,15
low,light,seed_0007,No grouping,0.529078111650274,15
low,light,seed_0007,CQI k-means,0.529078111650274,15
low,light,seed_0007,CQI k-means (k-means++),0.529078111650274,15
low,light,seed_0007,Resource-cost k-means,0.529078111650274,15
low,light,seed_0007,Multi-feature k-means,0.529078111650274,15
low,light,seed_0007,CQI+resource-cost hybrid (paper method),0.529078111650274,15
low,light,seed_0007,Offline teacher,0.529078111650274,15
low,light,seed_0008,No grouping,0.529078111650274,15
low,light,seed_0008,CQI k-means,0.529078111650274,15
low,light,seed_0008,CQI k-means (k-means++),0.529078111650274,15
low,light,seed_0008,Resource-cost k-means,0.529078111650274,15
low,light,seed_0008,Multi-feature k-means,0.529078111650274,15
low,light,seed_0008,CQI+resource-cost hybrid (paper method),0.529078111650274,15
low,light,seed_0008,Offline teacher,0.529078111650274,15
low,light,seed_0009,No grouping,0.529078111650274,15
low,light,seed_0009,CQI k-means,0.529078111650274,15
low,light,seed_0009,CQI k-means (k-means++),0.529078111650274,15
low,light,seed_0009,Resource-cost k-means,0.529078111650274,15
low,light,seed_0009,Multi-feature k-means,0.529078111650274,15
low,light,seed_0009,CQI+resource-cost hybrid (paper method),0.529078111650274,15
low,light,seed_0009,Offline teacher,0.529078111650274,15
low,light,seed_0010,No grouping,0.529078111650274,15
low,light,seed_0010,CQI k-means,0.529078111650274,15
low,light,seed_0010,CQI k-means (k-means++),0.529078111650274,15
low,light,seed_0010,Resource-cost k-means,0.529078111650274,15
low,light,seed_0010,Multi-feature k-means,0.529078111650274,15
low,light,seed_0010,CQI+resource-cost hybrid (paper method),0.529078111650274,15
low,light,seed_0010,Offline teacher,0.529078111650274,15
low,medium,seed_0001,No grouping,0.44718417808401845,15
low,medium,seed_0001,CQI k-means,0.44718417808401845,15
low,medium,seed_0001,CQI k-means (k-means++),0.44718417808401845,15
low,medium,seed_0001,Resource-cost k-means,0.44718417808401845,15
low,medium,seed_0001,Multi-feature k-means,0.44718417808401845,15
low,medium,seed_0001,CQI+resource-cost hybrid (paper method),0.44718417808401845,15
low,medium,seed_0001,Offline teacher,0.44718417808401845,15
low,medium,seed_0002,No grouping,0.44718417808401845,15
low,medium,seed_0002,CQI k-means,0.44718417808401845,15
low,medium,seed_0002,CQI k-means (k-means++),0.44718417808401845,15
low,medium,seed_0002,Resource-cost k-means,0.44718417808401845,15
low,medium,seed_0002,Multi-feature k-means,0.44718417808401845,15
low,medium,seed_0002,CQI+resource-cost hybrid (paper method),0.44718417808401845,15
low,medium,seed_0002,Offline teacher,0.44718417808401845,15
low,medium,seed_0003,No grouping,0.44718417808401845,15
low,medium,seed_0003,CQI k-means,0.44718417808401845,15
low,medium,seed_0003,CQI k-means (k-means++),0.44718417808401845,15
low,medium,seed_0003,Resource-cost k-means,0.44718417808401845,15
low,medium,seed_0003,Multi-feature k-means,0.44718417808401845,15
low,medium,seed_0003,CQI+resource-cost hybrid (paper method),0.44718417808401845,15
low,medium,seed_0003,Offline teacher,0.44718417808401845,15
low,medium,seed_0004,No grouping,0.44718417808401845,15
low,medium,seed_0004,CQI k-means,0.44718417808401845,15
low,medium,seed_0004,CQI k-means (k-means++),0.44718417808401845,15
low,medium,seed_0004,Resource-cost k-means,0.44718417808401845,15
low,medium,seed_0004,Multi-feature k-means,0.44718417808401845,15
low,medium,seed_0004,CQI+resource-cost hybrid (paper method),0.44718417808401845,15
low,medium,seed_0004,Offline teacher,0.44718417808401845,15
low,medium,seed_0005,No grouping,0.44718417808401845,15
low,medium,seed_0005,CQI k-means,0.44718417808401845,15
low,medium,seed_0005,CQI k-means (k-means++),0.44718417808401845,15
low,medium,seed_0005,Resource-cost k-means,0.44718417808401845,15
low,medium,seed_0005,Multi-feature k-means,0.44718417808401845,15
low,medium,seed_0005,CQI+resource-cost hybrid (paper method),0.44718417808401845,15
low,medium,seed_0005,Offline teacher,0.44718417808401845,15
low,medium,seed_0006,No grouping,0.44718417808401845,15
low,medium,seed_0006,CQI k-means,0.44718417808401845,15
low,medium,seed_0006,CQI k-means (k-means++),0.44718417808401845,15
low,medium,seed_0006,Resource-cost k-means,0.44718417808401845,15
