rank_score,ue_ids,serving_gnb,scenario_count,max_cqi_range,max_resource_cost_range,max_previous_quality_range,candidate_1_ue_id,candidate_1_weakness,candidate_1_mean_cost,candidate_1_mean_cqi,candidate_1_mean_previous_quality,candidate_2_ue_id,candidate_2_weakness,candidate_2_mean_cost,candidate_2_mean_cqi,candidate_2_mean_previous_quality,third_ue_id,third_weakness,dual_candidate_closeness,candidate_gap_over_third,first_time_s,last_time_s,rank
9.097993311037,1|2|4|5,gnb_2,10,4.0,0.500000,1.0,2,0.900000,3.383333,12.700000,2.000000,4,0.669900,3.316667,13.100000,2.000000,1,0.152174,0.079599,1.000000,23.0,23.9,1
9.060000000000,0|1|15|2|3|4|5,gnb_1,57,3.0,0.333333,1.0,15,0.971622,3.184211,14.403509,1.000000,4,0.450000,3.166667,14.350877,1.000000,5,0.141892,0.000000,1.000000,38.0,43.6,2
8.972965722802,3|4|5|6,gnb_2,42,6.0,0.833333,1.0,5,0.900000,3.444444,12.119048,2.000000,4,0.312370,3.269841,13.261905,2.000000,6,0.236559,0.000000,0.303241,25.8,29.9,3
8.650000000000,0|1|15|2|3|4,gnb_1,20,3.0,0.166667,1.0,15,1.000000,3.191667,13.950000,1.000000,3,0.800000,3.191667,14.550000,1.000000,4,0.200000,0.200000,1.000000,36.0,37.9,4
8.194921090387,31|4|5|6|7,gnb_2,35,3.0,0.166667,1.0,5,0.772238,3.214286,13.885714,1.914286,6,0.575122,3.195238,14.114286,1.028571,7,0.385294,0.211535,0.759311,30.5,35.9,5
6.777011494253,0|1|15|2|31,gnb_1,50,4.0,0.333333,1.0,2,0.918367,3.263333,13.560000,1.820000,31,0.227035,3.176667,14.300000,2.000000,0,0.153472,0.000000,0.294253,25.0,29.9,6
6.166666666667,31|4|5|6,gnb_2,5,5.0,0.833333,1.0,5,0.966667,3.500000,12.400000,1.600000,4,0.116667,3.166667,14.000000,2.000000,6,0.100000,0.000000,0.066667,30.0,30.4,7
5.906896551724,0|1|15|2|3|5,gnb_1,20,4.0,0.333333,1.0,5,0.900000,3.408333,12.200000,1.050000,3,0.175431,3.183333,14.700000,1.000000,0,0.100000,0.000000,0.301724,31.0,32.9,8
5.867101449275,0|1|2|3|4,gnb_2,34,4.0,0.333333,1.0,4,0.950000,3.401961,11.852941,1.500000,3,0.355616,3.245098,14.000000,1.029412,1,0.308922,0.000000,0.186775,17.0,20.9,9
5.379352455454,0|1|2|3,gnb_2,38,3.0,0.333333,1.0,3,1.000000,3.425439,12.447368,1.973684,2,0.151554,3.210526,14.157895,2.000000,1,0.095969,0.000000,0.222338,12.2,15.9,10
5.157692307692,0|15|3|31,gnb_1,10,3.0,0.333333,1.0,3,1.000000,3.433333,12.400000,1.900000,0,0.121154,3.166667,14.100000,2.000000,31,0.026923,0.000000,0.376923,23.0,23.9,11
5.130000000000,0|2|3|4,gnb_2,6,3.0,0.333333,1.0,4,1.000000,3.388889,12.000000,1.000000,0,0.287500,3.222222,13.333333,1.666667,2,0.187500,0.000000,0.400000,16.6,21.1,12
4.804444444444,2|3|4|5,gnb_2,10,4.0,0.500000,0.0,4,0.950000,3.466667,11.600000,2.000000,3,0.157778,3.200000,14.200000,2.000000,5,0.120000,0.000000,0.151111,24.0,24.9,13
4.690000000000,0|2|3|4|5,gnb_2,8,3.0,0.166667,1.0,0,1.000000,3.229167,13.625000,1.000000,5,0.354545,3.166667,14.000000,1.000000,4,0.267045,0.000000,0.350000,21.2,21.9,14
3.850000000000,31|5|6|7,gnb_2,20,3.0,0.166667,1.0,5,0.847500,3.191667,14.150000,2.000000,6,0.362500,3.166667,14.250000,1.950000,7,0.350000,0.000000,0.050000,36.0,37.9,15
