timestamp_s,ue_id,serving_gnb,rb_index,rate_kbps,sinr_db,cqi
0.5,0,gnb_2,18,1160.000000,,15
0.5,0,gnb_2,19,1128.000000,,14
0.5,0,gnb_2,20,1160.000000,,15
0.5,0,gnb_2,21,1160.000000,,15
0.5,0,gnb_2,22,1160.000000,,15
0.5,0,gnb_2,23,1160.000000,,15
0.5,0,gnb_2,24,1160.000000,,15
0.6,0,gnb_2,0,1160.000000,,15
0.6,0,gnb_2,1,1160.000000,,15
0.6,0,gnb_2,2,1160.000000,,15
0.6,0,gnb_2,3,1160.000000,,15
0.6,0,gnb_2,4,1160.000000,,15
0.6,0,gnb_2,5,1160.000000,,15
0.6,0,gnb_2,6,1128.000000,,14
0.6,0,gnb_2,7,1160.000000,,15
0.6,0,gnb_2,8,1160.000000,,15
0.6,0,gnb_2,9,1160.000000,,15
0.6,0,gnb_2,10,1160.000000,,15
0.6,0,gnb_2,11,1128.000000,,14
0.6,0,gnb_2,12,1160.000000,,15
0.6,0,gnb_2,13,1160.000000,,15
0.6,0,gnb_2,14,1160.000000,,15
0.6,0,gnb_2,15,1160.000000,,15
0.6,0,gnb_2,16,1160.000000,,15
0.6,0,gnb_2,17,1160.000000,,15
0.6,0,gnb_2,18,1160.000000,,15
0.6,0,gnb_2,19,1128.000000,,14
0.6,0,gnb_2,20,1160.000000,,15
0.6,0,gnb_2,21,1160.000000,,15
0.6,0,gnb_2,22,1160.000000,,15
0.6,0,gnb_2,23,1160.000000,,15
0.6,0,gnb_2,24,1160.000000,,15
0.7,0,gnb_2,0,1160.000000,,15
0.7,0,gnb_2,1,1160.000000,,15
0.7,0,gnb_2,2,1160.000000,,15
0.7,0,gnb_2,3,1160.000000,,15
0.7,0,gnb_2,4,1160.000000,,15
0.7,0,gnb_2,5,1160.000000,,15
0.7,0,gnb_2,6,1128.000000,,14
0.7,0,gnb_2,7,1160.000000,,15
0.7,0,gnb_2,8,1160.000000,,15
0.7,0,gnb_2,9,1160.000000,,15
0.7,0,gnb_2,10,1160.000000,,15
0.7,0,gnb_2,11,1128.000000,,14
0.7,0,gnb_2,12,1160.000000,,15
0.7,0,gnb_2,13,1160.000000,,15
0.7,0,gnb_2,14,1160.000000,,15
0.7,0,gnb_2,15,1160.000000,,15
0.7,0,gnb_2,16,1160.000000,,15
0.7,0,gnb_2,17,1160.000000,,15
0.7,0,gnb_2,18,1160.000000,,15
0.7,0,gnb_2,19,1128.000000,,14
0.7,0,gnb_2,20,1160.000000,,15
0.7,0,gnb_2,21,1160.000000,,15
0.7,0,gnb_2,22,1160.000000,,15
0.7,0,gnb_2,23,1160.000000,,15
0.7,0,gnb_2,24,1160.000000,,15
0.8,0,gnb_2,0,1160.000000,,15
0.8,0,gnb_2,1,1160.000000,,15
0.8,0,gnb_2,2,1160.000000,,15
0.8,0,gnb_2,3,1160.000000,,15
0.8,0,gnb_2,4,1160.000000,,15
0.8,0,gnb_2,5,1160.000000,,15
0.8,0,gnb_2,6,1128.000000,,14
0.8,0,gnb_2,7,1160.000000,,15
0.8,0,gnb_2,8,1160.000000,,15
0.8,0,gnb_2,9,1160.000000,,15
0.8,0,gnb_2,10,1160.000000,,15
0.8,0,gnb_2,11,1128.000000,,14
0.8,0,gnb_2,12,1160.000000,,15
0.8,0,gnb_2,13,1160.000000,,15
0.8,0,gnb_2,14,1160.000000,,15
0.8,0,gnb_2,15,1160.000000,,15
0.8,0,gnb_2,16,1160.000000,,15
0.8,0,gnb_2,17,1160.000000,,15
0.8,0,gnb_2,18,1160.000000,,15
0.8,0,gnb_2,19,1128.000000,,14
0.8,0,gnb_2,20,1160.000000,,15
0.8,0,gnb_2,21,1160.000000,,15
0.8,0,gnb_2,22,1160.000000,,15
0.8,0,gnb_2,23,1160.000000,,15
0.8,0,gnb_2,24,1160.000000,,15
0.9,0,gnb_2,0,1160.000000,,15
0.9,0,gnb_2,1,1160.000000,,15
0.9,0,gnb_2,2,1160.000000,,15
0.9,0,gnb_2,3,1160.000000,,15
0.9,0,gnb_2,4,1160.000000,,15
0.9,0,gnb_2,5,1160.000000,,15
0.9,0,gnb_2,6,1128.000000,,14
0.9,0,gnb_2,7,1160.000000,,15
0.9,0,gnb_2,8,1160.000000,,15
0.9,0,gnb_2,9,1160.000000,,15
0.9,0,gnb_2,10,1160.000000,,15
0.9,0,gnb_2,11,1128.000000,,14
0.9,0,gnb_2,12,1160.000000,,15
0.9,0,gnb_2,13,1160.000000,,15
0.9,0,gnb_2,14,1160.000000,,15
0.9,0,gnb_2,15,1160.000000,,15
0.9,0,gnb_2,16,1160.000000,,15
0.9,0,gnb_2,17,1160.000000,,15
0.9,0,gnb_2,18,1160.000000,,15
0.9,0,gnb_2,19,1128.000000,,14
0.9,0,gnb_2,20,1160.000000,,15
0.9,0,gnb_2,21,1160.000000,,15
0.9,0,gnb_2,22,1160.000000,,15
0.9,0,gnb_2,23,1160.000000,,15
0.9,0,gnb_2,24,1160.000000,,15
1.0,0,gnb_2,0,1160.000000,,15
1.0,0,gnb_2,1,1160.000000,,15
1.0,0,gnb_2,2,1160.000000,,15
1.0,0,gnb_2,3,1160.000000,,15
1.0,0,gnb_2,4,1160.000000,,15
1.0,0,gnb_2,5,1160.000000,,15
1.0,0,gnb_2,6,1128.000000,,14
1.0,0,gnb_2,7,1160.000000,,15
1.0,0,gnb_2,8,1160.000000,,15
1.0,0,gnb_2,9,1160.000000,,15
1.0,0,gnb_2,10,1160.000000,,15
1.0,0,gnb_2,11,1128.000000,,14
1.0,0,gnb_2,12,1160.000000,,15
1.0,0,gnb_2,13,1160.000000,,15
1.0,0,gnb_2,14,1160.000000,,15
1.0,0,gnb_2,15,1160.000000,,15
1.0,0,gnb_2,16,1160.000000,,15
1.0,0,gnb_2,17,1160.000000,,15
1.0,0,gnb_2,18,1160.000000,,15
1.0,0,gnb_2,19,1128.000000,,14
1.0,0,gnb_2,20,1160.000000,,15
1.0,0,gnb_2,21,1160.000000,,15
1.0,0,gnb_2,22,1160.000000,,15
1.0,0,gnb_2,23,1160.000000,,15
1.0,0,gnb_2,24,1160.000000,,15
1.1,0,gnb_2,0,1160.000000,,15
1.1,0,gnb_2,1,1160.000000,,15
1.1,0,gnb_2,2,1160.000000,,15
1.1,0,gnb_2,3,1160.000000,,15
1.1,0,gnb_2,4,1160.000000,,15
1.1,0,gnb_2,5,1160.000000,,15
1.1,0,gnb_2,6,1128.000000,,14
1.1,0,gnb_2,7,1160.000000,,15
1.1,0,gnb_2,8,1160.000000,,15
1.1,0,gnb_2,9,1160.000000,,15
1.1,0,gnb_2,10,1160.000000,,15
1.1,0,gnb_2,11,1128.000000,,14
1.1,0,gnb_2,12,1160.000000,,15
1.1,0,gnb_2,13,1160.000000,,15
1.1,0,gnb_2,14,1160.000000,,15
1.1,0,gnb_2,15,1160.000000,,15
1.1,0,gnb_2,16,1160.000000,,15
1.1,0,gnb_2,17,1160.000000,,15
1.1,0,gnb_2,18,1160.000000,,15
1.1,0,gnb_2,19,1128.000000,,14
1.1,0,gnb_2,20,1160.000000,,15
1.1,0,gnb_2,21,1160.000000,,15
1.1,0,gnb_2,22,1160.000000,,15
1.1,0,gnb_2,23,1160.000000,,15
1.1,0,gnb_2,24,1160.000000,,15
1.2,0,gnb_2,0,1160.000000,,15
1.2,0,gnb_2,1,1160.000000,,15
1.2,0,gnb_2,2,1160.000000,,15
1.2,0,gnb_2,3,1160.000000,,15
1.2,0,gnb_2,4,1160.000000,,15
1.2,0,gnb_2,5,1160.000000,,15
1.2,0,gnb_2,6,1128.000000,,14
1.2,0,gnb_2,7,1160.000000,,15
1.2,0,gnb_2,8,1160.000000,,15
1.2,0,gnb_2,9,1160.000000,,15
1.2,0,gnb_2,10,1160.000000,,15
1.2,0,gnb_2,11,1128.000000,,14
1.2,0,gnb_2,12,1160.000000,,15
1.2,0,gnb_2,13,1160.000000,,15
1.2,0,gnb_2,14,1160.000000,,15
1.2,0,gnb_2,15,1160.000000,,15
1.2,0,gnb_2,16,1160.000000,,15
1.2,0,gnb_2,17,1160.000000,,15
1.2,0,gnb_2,18,1160.000000,,15
1.2,0,gnb_2,19,1128.000000,,14
1.2,0,gnb_2,20,1160.000000,,15
1.2,0,gnb_2,21,1160.000000,,15
1.2,0,gnb_2,22,1160.000000,,15
1.2,0,gnb_2,23,1160.000000,,15
1.2,0,gnb_2,24,1160.000000,,15
1.3,0,gnb_2,0,1160.000000,,15
1.3,0,gnb_2,1,1160.000000,,15
1.3,0,gnb_2,2,1160.000000,,15
1.3,0,gnb_2,3,1160.000000,,15
1.3,0,gnb_2,4,1160.000000,,15
1.3,0,gnb_2,5,1160.000000,,15
1.3,0,gnb_2,6,1128.000000,,14
1.3,0,gnb_2,7,1160.000000,,15
1.3,0,gnb_2,8,1160.000000,,15
1.3,0,gnb_2,9,1160.000000,,15
1.3,0,gnb_2,10,1160.000000,,15
1.3,0,gnb_2,11,1128.000000,,14
1.3,0,gnb_2,12,1160.000000,,15
1.3,0,gnb_2,13,1160.000000,,15
1.3,0,gnb_2,14,1160.000000,,15
1.3,0,gnb_2,15,1160.000000,,15
1.3,0,gnb_2,16,1160.000000,,15
1.3,0,gnb_2,17,1160.000000,,15
1.3,0,gnb_2,18,1160.000000,,15
1.3,0,gnb_2,19,1128.000000,,14
1.3,0,gnb_2,20,1160.000000,,15
1.3,0,gnb_2,21,1160.000000,,15
1.3,0,gnb_2,22,1160.000000,,15
1.3,0,gnb_2,23,1160.000000,,15
1.3,0,gnb_2,24,1160.000000,,15
1.4,0,gnb_2,0,1160.000000,,15
1.4,0,gnb_2,1,1160.000000,,15
1.4,0,gnb_2,2,1160.000000,,15
1.4,0,gnb_2,3,1160.000000,,15
1.4,0,gnb_2,4,1160.000000,,15
1.4,0,gnb_2,5,1160.000000,,15
1.4,0,gnb_2,6,1128.000000,,14
1.4,0,gnb_2,7,1160.000000,,15
1.4,0,gnb_2,8,1160.000000,,15
1.4,0,gnb_2,9,1160.000000,,15
1.4,0,gnb_2,10,1160.000000,,15
1.4,0,gnb_2,11,1128.000000,,14
1.4,0,gnb_2,12,1160.000000,,15
1.4,0,gnb_2,13,1160.000000,,15
1.4,0,gnb_2,14,1160.000000,,15
1.4,0,gnb_2,15,1160.000000,,15
1.4,0,gnb_2,16,1160.000000,,15
1.4,0,gnb_2,17,1160.000000,,15
1.4,0,gnb_2,18,1160.000000,,15
1.4,0,gnb_2,19,1128.000000,,14
1.4,0,gnb_2,20,1160.000000,,15
1.4,0,gnb_2,21,1160.000000,,15
1.4,0,gnb_2,22,1160.000000,,15
1.4,0,gnb_2,23,1160.000000,,15
1.4,0,gnb_2,24,1160.000000,,15
1.5,0,gnb_2,0,1160.000000,,15
1.5,0,gnb_2,1,1160.000000,,15
1.5,0,gnb_2,2,1160.000000,,15
1.5,0,gnb_2,3,1160.000000,,15
1.5,0,gnb_2,4,1160.000000,,15
1.5,0,gnb_2,5,1160.000000,,15
1.5,0,gnb_2,6,1128.000000,,14
1.5,0,gnb_2,7,1160.000000,,15
1.5,0,gnb_2,8,1160.000000,,15
1.5,0,gnb_2,9,1160.000000,,15
1.5,0,gnb_2,10,1160.000000,,15
1.5,0,gnb_2,11,1128.000000,,14
1.5,0,gnb_2,12,1160.000000,,15
1.5,0,gnb_2,13,1160.000000,,15
1.5,0,gnb_2,14,1160.000000,,15
1.5,0,gnb_2,15,1160.000000,,15
1.5,0,gnb_2,16,1160.000000,,15
1.5,0,gnb_2,17,1160.000000,,15
1.5,0,gnb_2,18,1160.000000,,15
1.5,0,gnb_2,19,1128.000000,,14
1.5,0,gnb_2,20,1160.000000,,15
1.5,0,gnb_2,21,1160.000000,,15
1.5,0,gnb_2,22,1160.000000,,15
1.5,0,gnb_2,23,1160.000000,,15
1.5,0,gnb_2,24,1160.000000,,15
1.6,0,gnb_2,0,1160.000000,,15
1.6,0,gnb_2,1,1160.000000,,15
1.6,0,gnb_2,2,1160.000000,,15
1.6,0,gnb_2,3,1160.000000,,15
1.6,0,gnb_2,4,1160.000000,,15
1.6,0,gnb_2,5,1160.000000,,15
1.6,0,gnb_2,6,1128.000000,,14
1.6,0,gnb_2,7,1160.000000,,15
1.6,0,gnb_2,8,1160.000000,,15
1.6,0,gnb_2,9,1160.000000,,15
1.6,0,gnb_2,10,1160.000000,,15
1.6,0,gnb_2,11,1128.000000,,14
1.6,0,gnb_2,12,1160.000000,,15
1.6,0,gnb_2,13,1160.000000,,15
1.6,0,gnb_2,14,1160.000000,,15
1.6,0,gnb_2,15,1160.000000,,15
1.6,0,gnb_2,16,1160.000000,,15
1.6,0,gnb_2,17,1160.000000,,15
1.6,0,gnb_2,18,1160.000000,,15
1.6,0,gnb_2,19,1128.000000,,14
1.6,0,gnb_2,20,1160.000000,,15
1.6,0,gnb_2,21,1160.000000,,15
1.6,0,gnb_2,22,1160.000000,,15
1.6,0,gnb_2,23,1160.000000,,15
1.6,0,gnb_2,24,1160.000000,,15
1.7,0,gnb_2,0,1160.000000,,15
1.7,0,gnb_2,1,1160.000000,,15
1.7,0,gnb_2,2,1160.000000,,15
1.7,0,gnb_2,3,1160.000000,,15
1.7,0,gnb_2,4,1160.000000,,15
1.7,0,gnb_2,5,1160.000000,,15
1.7,0,gnb_2,6,1128.000000,,14
1.7,0,gnb_2,7,1160.000000,,15
1.7,0,gnb_2,8,1160.000000,,15
1.7,0,gnb_2,9,1160.000000,,15
1.7,0,gnb_2,10,1160.000000,,15
1.7,0,gnb_2,11,1128.000000,,14
1.7,0,gnb_2,12,1160.000000,,15
1.7,0,gnb_2,13,1160.000000,,15
1.7,0,gnb_2,14,1160.000000,,15
1.7,0,gnb_2,15,1160.000000,,15
1.7,0,gnb_2,16,1160.000000,,15
1.7,0,gnb_2,17,1160.000000,,15
1.7,0,gnb_2,18,1160.000000,,15
1.7,0,gnb_2,19,1128.000000,,14
1.7,0,gnb_2,20,1160.000000,,15
1.7,0,gnb_2,21,1160.000000,,15
1.7,0,gnb_2,22,1160.000000,,15
1.7,0,gnb_2,23,1160.000000,,15
1.7,0,gnb_2,24,1160.000000,,15
1.8,0,gnb_2,0,1160.000000,,15
1.8,0,gnb_2,1,1160.000000,,15
1.8,0,gnb_2,2,1160.000000,,15
1.8,0,gnb_2,3,1160.000000,,15
1.8,0,gnb_2,4,1160.000000,,15
1.8,0,gnb_2,5,1160.000000,,15
1.8,0,gnb_2,6,1128.000000,,14
1.8,0,gnb_2,7,1160.000000,,15
1.8,0,gnb_2,8,1160.000000,,15
1.8,0,gnb_2,9,1160.000000,,15
1.8,0,gnb_2,10,1160.000000,,15
1.8,0,gnb_2,11,1128.000000,,14
1.8,0,gnb_2,12,1160.000000,,15
1.8,0,gnb_2,13,1160.000000,,15
1.8,0,gnb_2,14,1160.000000,,15
1.8,0,gnb_2,15,1160.000000,,15
1.8,0,gnb_2,16,1160.000000,,15
1.8,0,gnb_2,17,1160.000000,,15
1.8,0,gnb_2,18,1160.000000,,15
1.8,0,gnb_2,19,1128.000000,,14
1.8,0,gnb_2,20,1160.000000,,15
1.8,0,gnb_2,21,1160.000000,,15
1.8,0,gnb_2,22,1160.000000,,15
1.8,0,gnb_2,23,1160.000000,,15
1.8,0,gnb_2,24,1160.000000,,15
1.9,0,gnb_2,0,1160.000000,,15
1.9,0,gnb_2,1,1160.000000,,15
1.9,0,gnb_2,2,1160.000000,,15
1.9,0,gnb_2,3,1160.000000,,15
1.9,0,gnb_2,4,1160.000000,,15
1.9,0,gnb_2,5,1160.000000,,15
1.9,0,gnb_2,6,1128.000000,,14
1.9,0,gnb_2,7,1160.000000,,15
1.9,0,gnb_2,8,1160.000000,,15
1.9,0,gnb_2,9,1160.000000,,15
1.9,0,gnb_2,10,1160.000000,,15
1.9,0,gnb_2,11,1128.000000,,14
1.9,0,gnb_2,12,1160.000000,,15
1.9,0,gnb_2,13,1160.000000,,15
1.9,0,gnb_2,14,1160.000000,,15
1.9,0,gnb_2,15,1160.000000,,15
1.9,0,gnb_2,16,1160.000000,,15
1.9,0,gnb_2,17,1160.000000,,15
1.9,0,gnb_2,18,1160.000000,,15
1.9,0,gnb_2,19,1128.000000,,14
1.9,0,gnb_2,20,1160.000000,,15
1.9,0,gnb_2,21,1160.000000,,15
1.9,0,gnb_2,22,1160.000000,,15
1.9,0,gnb_2,23,1160.000000,,15
1.9,0,gnb_2,24,1160.000000,,15
2.0,0,gnb_2,0,1160.000000,,15
2.0,0,gnb_2,1,1160.000000,,15
2.0,0,gnb_2,2,1160.000000,,15
2.0,0,gnb_2,3,1160.000000,,15
2.0,0,gnb_2,4,1160.000000,,15
2.0,0,gnb_2,5,1160.000000,,15
2.0,0,gnb_2,6,1128.000000,,14
2.0,0,gnb_2,7,1160.000000,,15
2.0,0,gnb_2,8,1160.000000,,15
2.0,0,gnb_2,9,1160.000000,,15
2.0,0,gnb_2,10,1160.000000,,15
2.0,0,gnb_2,11,1128.000000,,14
2.0,0,gnb_2,12,1160.000000,,15
2.0,0,gnb_2,13,1160.000000,,15
2.0,0,gnb_2,14,1160.000000,,15
2.0,0,gnb_2,15,1160.000000,,15
2.0,0,gnb_2,16,1160.000000,,15
2.0,0,gnb_2,17,1160.000000,,15
2.0,0,gnb_2,18,1160.000000,,15
2.0,0,gnb_2,19,1128.000000,,14
2.0,0,gnb_2,20,1160.000000,,15
2.0,0,gnb_2,21,1160.000000,,15
2.0,0,gnb_2,22,1160.000000,,15
2.0,0,gnb_2,23,1160.000000,,15
2.0,0,gnb_2,24,1160.000000,,15
2.1,0,gnb_2,0,1160.000000,,15
2.1,0,gnb_2,1,1160.000000,,15
2.1,0,gnb_2,2,1160.000000,,15
2.1,0,gnb_2,3,1160.000000,,15
2.1,0,gnb_2,4,1160.000000,,15
2.1,0,gnb_2,5,1160.000000,,15
2.1,0,gnb_2,6,1128.000000,,14
2.1,0,gnb_2,7,1160.000000,,15
2.1,0,gnb_2,8,1160.000000,,15
2.1,0,gnb_2,9,1160.000000,,15
2.1,0,gnb_2,10,1160.000000,,15
2.1,0,gnb_2,11,1128.000000,,14
2.1,0,gnb_2,12,1160.000000,,15
2.1,0,gnb_2,13,1160.000000,,15
2.1,0,gnb_2,14,1160.000000,,15
2.1,0,gnb_2,15,1160.000000,,15
2.1,0,gnb_2,16,1160.000000,,15
2.1,0,gnb_2,17,1160.000000,,15
2.1,0,gnb_2,18,1160.000000,,15
2.1,0,gnb_2,19,1128.000000,,14
2.1,0,gnb_2,20,1160.000000,,15
2.1,0,gnb_2,21,1160.000000,,15
2.1,0,gnb_2,22,1160.000000,,15
2.1,0,gnb_2,23,1160.000000,,15
2.1,0,gnb_2,24,1160.000000,,15
2.2,0,gnb_2,0,1160.000000,,15
2.2,0,gnb_2,1,1160.000000,,15
2.2,0,gnb_2,2,1160.000000,,15
2.2,0,gnb_2,3,1160.000000,,15
2.2,0,gnb_2,4,1160.000000,,15
2.2,0,gnb_2,5,1160.000000,,15
2.2,0,gnb_2,6,1128.000000,,14
2.2,0,gnb_2,7,1160.000000,,15
2.2,0,gnb_2,8,1160.000000,,15
2.2,0,gnb_2,9,1160.000000,,15
2.2,0,gnb_2,10,1160.000000,,15
2.2,0,gnb_2,11,1128.000000,,14
2.2,0,gnb_2,12,1160.000000,,15
2.2,0,gnb_2,13,1160.000000,,15
2.2,0,gnb_2,14,1160.000000,,15
2.2,0,gnb_2,15,1160.000000,,15
2.2,0,gnb_2,16,1160.000000,,15
2.2,0,gnb_2,17,1160.000000,,15
2.2,0,gnb_2,18,1160.000000,,15
2.2,0,gnb_2,19,1128.000000,,14
2.2,0,gnb_2,20,1160.000000,,15
2.2,0,gnb_2,21,1160.000000,,15
2.2,0,gnb_2,22,1160.000000,,15
2.2,0,gnb_2,23,1160.000000,,15
2.2,0,gnb_2,24,1160.000000,,15
2.3,0,gnb_2,0,1160.000000,,15
2.3,0,gnb_2,1,1160.000000,,15
2.3,0,gnb_2,2,1160.000000,,15
2.3,0,gnb_2,3,1160.000000,,15
2.3,0,gnb_2,4,1160.000000,,15
2.3,0,gnb_2,5,1160.000000,,15
2.3,0,gnb_2,6,1128.000000,,14
2.3,0,gnb_2,7,1160.000000,,15
2.3,0,gnb_2,8,1160.000000,,15
2.3,0,gnb_2,9,1160.000000,,15
2.3,0,gnb_2,10,1160.000000,,15
2.3,0,gnb_2,11,1128.000000,,14
2.3,0,gnb_2,12,1160.000000,,15
2.3,0,gnb_2,13,1160.000000,,15
2.3,0,gnb_2,14,1160.000000,,15
2.3,0,gnb_2,15,1160.000000,,15
2.3,0,gnb_2,16,1160.000000,,15
2.3,0,gnb_2,17,1160.000000,,15
2.3,0,gnb_2,18,1160.000000,,15
2.3,0,gnb_2,19,1128.000000,,14
2.3,0,gnb_2,20,1160.000000,,15
2.3,0,gnb_2,21,1160.000000,,15
2.3,0,gnb_2,22,1160.000000,,15
2.3,0,gnb_2,23,1160.000000,,15
2.3,0,gnb_2,24,1160.000000,,15
2.4,0,gnb_2,0,1160.000000,,15
2.4,0,gnb_2,1,1160.000000,,15
2.4,0,gnb_2,2,1160.000000,,15
2.4,0,gnb_2,3,1160.000000,,15
2.4,0,gnb_2,4,1160.000000,,15
2.4,0,gnb_2,5,1160.000000,,15
2.4,0,gnb_2,6,1128.000000,,14
2.4,0,gnb_2,7,1160.000000,,15
2.4,0,gnb_2,8,1160.000000,,15
2.4,0,gnb_2,9,1160.000000,,15
2.4,0,gnb_2,10,1160.000000,,15
2.4,0,gnb_2,11,1128.000000,,14
2.4,0,gnb_2,12,1160.000000,,15
2.4,0,gnb_2,13,1160.000000,,15
2.4,0,gnb_2,14,1160.000000,,15
2.4,0,gnb_2,15,1160.000000,,15
2.4,0,gnb_2,16,1160.000000,,15
2.4,0,gnb_2,17,1160.000000,,15
2.4,0,gnb_2,18,1160.000000,,15
2.4,0,gnb_2,19,1128.000000,,14
2.4,0,gnb_2,20,1160.000000,,15
2.4,0,gnb_2,21,1160.000000,,15
2.4,0,gnb_2,22,1160.000000,,15
2.4,0,gnb_2,23,1160.000000,,15
2.4,0,gnb_2,24,1160.000000,,15
2.5,0,gnb_2,0,1160.000000,,15
2.5,0,gnb_2,1,1160.000000,,15
2.5,0,gnb_2,2,1160.000000,,15
2.5,0,gnb_2,3,1160.000000,,15
2.5,0,gnb_2,4,1160.000000,,15
2.5,0,gnb_2,5,1160.000000,,15
2.5,0,gnb_2,6,1128.000000,,14
2.5,0,gnb_2,7,1160.000000,,15
2.5,0,gnb_2,8,1160.000000,,15
2.5,0,gnb_2,9,1160.000000,,15
2.5,0,gnb_2,10,1160.000000,,15
2.5,0,gnb_2,11,1128.000000,,14
2.5,0,gnb_2,12,1160.000000,,15
2.5,0,gnb_2,13,1160.000000,,15
2.5,0,gnb_2,14,1160.000000,,15
2.5,0,gnb_2,15,1160.000000,,15
2.5,0,gnb_2,16,1160.000000,,15
2.5,0,gnb_2,17,1160.000000,,15
2.5,0,gnb_2,18,1160.000000,,15
2.5,0,gnb_2,19,1128.000000,,14
2.5,0,gnb_2,20,1160.000000,,15
2.5,0,gnb_2,21,1160.000000,,15
2.5,0,gnb_2,22,1160.000000,,15
2.5,0,gnb_2,23,1160.000000,,15
2.5,0,gnb_2,24,1160.000000,,15
2.6,0,gnb_2,0,1160.000000,,15
2.6,0,gnb_2,1,1160.000000,,15
2.6,0,gnb_2,2,1160.000000,,15
2.6,0,gnb_2,3,1160.000000,,15
2.6,0,gnb_2,4,1160.000000,,15
