timestamp_s,ue_node_id,gnb_node_id,band_index,cqi,tbs_bits_per_slot,total_bands
0.008,2053,1,5,15,1160,6
0.014,2049,1,0,15,1160,6
0.014,2049,1,1,13,984,6
0.014,2049,1,2,15,1160,6
0.014,2049,1,3,14,1128,6
0.014,2049,1,4,15,1160,6
0.014,2049,1,5,15,1160,6
0.014,2050,1,0,15,1160,6
0.014,2050,1,1,15,1160,6
0.014,2050,1,2,15,1160,6
0.014,2050,1,3,15,1160,6
0.014,2050,1,4,15,1160,6
0.014,2050,1,5,15,1160,6
0.014,2051,1,0,15,1160,6
0.014,2051,1,1,13,984,6
0.014,2051,1,2,15,1160,6
0.014,2051,1,3,15,1160,6
0.014,2051,1,4,14,1128,6
0.014,2051,1,5,15,1160,6
0.014,2052,1,0,15,1160,6
0.014,2052,1,1,15,1160,6
0.014,2052,1,2,15,1160,6
0.014,2052,1,3,13,984,6
0.014,2052,1,4,9,608,6
0.014,2052,1,5,13,984,6
0.014,2053,1,0,15,1160,6
0.014,2053,1,1,15,1160,6
0.014,2053,1,2,15,1160,6
0.014,2053,1,3,15,1160,6
0.014,2053,1,4,15,1160,6
0.014,2053,1,5,15,1160,6
0.02,2049,1,0,15,1160,6
0.02,2049,1,1,13,984,6
0.02,2049,1,2,15,1160,6
0.02,2049,1,3,14,1128,6
0.02,2049,1,4,15,1160,6
0.02,2049,1,5,15,1160,6
0.02,2050,1,0,15,1160,6
0.02,2050,1,1,15,1160,6
0.02,2050,1,2,15,1160,6
0.02,2050,1,3,15,1160,6
0.02,2050,1,4,15,1160,6
0.02,2050,1,5,15,1160,6
0.02,2051,1,0,15,1160,6
0.02,2051,1,1,13,984,6
0.02,2051,1,2,15,1160,6
0.02,2051,1,3,15,1160,6
0.02,2051,1,4,14,1128,6
0.02,2051,1,5,15,1160,6
0.02,2052,1,0,15,1160,6
0.02,2052,1,1,15,1160,6
0.02,2052,1,2,15,1160,6
0.02,2052,1,3,13,984,6
0.02,2052,1,4,9,608,6
0.02,2052,1,5,13,984,6
0.02,2053,1,0,15,1160,6
0.02,2053,1,1,15,1160,6
0.02,2053,1,2,15,1160,6
0.02,2053,1,3,15,1160,6
0.02,2053,1,4,15,1160,6
0.02,2053,1,5,15,1160,6
0.026,2049,1,0,15,1160,6
0.026,2049,1,1,13,984,6
0.026,2049,1,2,15,1160,6
0.026,2049,1,3,14,1128,6
0.026,2049,1,4,15,1160,6
0.026,2049,1,5,15,1160,6
0.026,2050,1,0,15,1160,6
0.026,2050,1,1,15,1160,6
0.026,2050,1,2,15,1160,6
0.026,2050,1,3,15,1160,6
0.026,2050,1,4,15,1160,6
0.026,2050,1,5,15,1160,6
0.026,2051,1,0,15,1160,6
0.026,2051,1,1,13,984,6
0.026,2051,1,2,15,1160,6
0.026,2051,1,3,15,1160,6
0.026,2051,1,4,14,1128,6
0.026,2051,1,5,15,1160,6
0.026,2052,1,0,15,1160,6
0.026,2052,1,1,15,1160,6
0.026,2052,1,2,15,1160,6
0.026,2052,1,3,13,984,6
0.026,2052,1,4,9,608,6
0.026,2052,1,5,13,984,6
0.026,2053,1,0,15,1160,6
0.026,2053,1,1,15,1160,6
0.026,2053,1,2,15,1160,6
0.026,2053,1,3,15,1160,6
0.026,2053,1,4,15,1160,6
0.026,2053,1,5,15,1160,6
0.032,2049,1,0,15,1160,6
0.032,2049,1,1,13,984,6
0.032,2049,1,2,15,1160,6
0.032,2049,1,3,14,1128,6
0.032,2049,1,4,15,1160,6
0.032,2049,1,5,15,1160,6
0.032,2050,1,0,15,1160,6
0.032,2050,1,1,15,1160,6
0.032,2050,1,2,15,1160,6
0.032,2050,1,3,15,1160,6
0.032,2050,1,4,15,1160,6
0.032,2050,1,5,15,1160,6
0.032,2051,1,0,15,1160,6
0.032,2051,1,1,13,984,6
0.032,2051,1,2,15,1160,6
0.032,2051,1,3,15,1160,6
0.032,2051,1,4,14,1128,6
0.032,2051,1,5,15,1160,6
0.032,2052,1,0,15,1160,6
0.032,2052,1,1,15,1160,6
0.032,2052,1,2,15,1160,6
0.032,2052,1,3,13,984,6
0.032,2052,1,4,9,608,6
0.032,2052,1,5,13,984,6
0.032,2053,1,0,15,1160,6
0.032,2053,1,1,15,1160,6
0.032,2053,1,2,15,1160,6
0.032,2053,1,3,15,1160,6
0.032,2053,1,4,15,1160,6
0.032,2053,1,5,15,1160,6
0.038,2049,1,0,15,1160,6
0.038,2049,1,1,13,984,6
0.038,2049,1,2,15,1160,6
0.038,2049,1,3,14,1128,6
0.038,2049,1,4,15,1160,6
0.038,2049,1,5,15,1160,6
0.038,2050,1,0,15,1160,6
0.038,2050,1,1,15,1160,6
0.038,2050,1,2,15,1160,6
0.038,2050,1,3,15,1160,6
0.038,2050,1,4,15,1160,6
0.038,2050,1,5,15,1160,6
0.038,2051,1,0,15,1160,6
0.038,2051,1,1,13,984,6
0.038,2051,1,2,15,1160,6
0.038,2051,1,3,15,1160,6
0.038,2051,1,4,14,1128,6
0.038,2051,1,5,15,1160,6
0.038,2052,1,0,15,1160,6
0.038,2052,1,1,15,1160,6
0.038,2052,1,2,15,1160,6
0.038,2052,1,3,13,984,6
0.038,2052,1,4,9,608,6
0.038,2052,1,5,13,984,6
0.038,2053,1,0,15,1160,6
0.038,2053,1,1,15,1160,6
0.038,2053,1,2,15,1160,6
0.038,2053,1,3,15,1160,6
0.038,2053,1,4,15,1160,6
0.038,2053,1,5,15,1160,6
0.044,2049,1,0,15,1160,6
0.044,2049,1,1,13,984,6
0.044,2049,1,2,15,1160,6
0.044,2049,1,3,14,1128,6
0.044,2049,1,4,15,1160,6
0.044,2049,1,5,15,1160,6
0.044,2050,1,0,15,1160,6
0.044,2050,1,1,15,1160,6
0.044,2050,1,2,15,1160,6
0.044,2050,1,3,15,1160,6
0.044,2050,1,4,15,1160,6
0.044,2050,1,5,15,1160,6
0.044,2051,1,0,15,1160,6
0.044,2051,1,1,13,984,6
0.044,2051,1,2,15,1160,6
0.044,2051,1,3,15,1160,6
0.044,2051,1,4,14,1128,6
0.044,2051,1,5,15,1160,6
0.044,2052,1,0,15,1160,6
0.044,2052,1,1,15,1160,6
0.044,2052,1,2,15,1160,6
0.044,2052,1,3,13,984,6
0.044,2052,1,4,9,608,6
0.044,2052,1,5,13,984,6
0.044,2053,1,0,15,1160,6
0.044,2053,1,1,15,1160,6
0.044,2053,1,2,15,1160,6
0.044,2053,1,3,15,1160,6
0.044,2053,1,4,15,1160,6
0.044,2053,1,5,15,1160,6
0.05,2049,1,0,15,1160,6
0.05,2049,1,1,13,984,6
0.05,2049,1,2,15,1160,6
0.05,2049,1,3,14,1128,6
0.05,2049,1,4,15,1160,6
0.05,2049,1,5,15,1160,6
0.05,2050,1,0,15,1160,6
0.05,2050,1,1,15,1160,6
0.05,2050,1,2,15,1160,6
0.05,2050,1,3,15,1160,6
0.05,2050,1,4,15,1160,6
0.05,2050,1,5,15,1160,6
0.05,2051,1,0,15,1160,6
0.05,2051,1,1,13,984,6
0.05,2051,1,2,15,1160,6
0.05,2051,1,3,15,1160,6
0.05,2051,1,4,14,1128,6
